timestamp,mission_time_s,chamber_pressure_psi,oxidizer_inlet_pressure_psi,fuel_inlet_pressure_psi,combustion_temp_F,nozzle_exit_temp_F,thrust_lbf,oxidizer_flow_rate_gps,fuel_flow_rate_gps,turbopump_rpm,vibration_g,coolant_inlet_temp_F,coolant_outlet_temp_F,injector_pressure_drop_psi,nozzle_exit_pressure_psi,o_f_ratio,test_phase
2026-02-15T04:30:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,STARTUP
2026-02-15T04:30:00.100Z,0.1,28.5436,32.775,30.2046,115.4856,56.0751,3800.3955,11.2032,4.7951,722.1516,0.0547,1.4493,7.0604,5.6703,0.2952,0.0472,STARTUP
2026-02-15T04:30:00.200Z,0.2,56.6609,65.4835,60.9722,231.3514,110.856,7579.5343,22.4484,9.5478,1443.1162,0.1143,2.8608,13.9437,11.0819,0.573,0.0948,STARTUP
2026-02-15T04:30:00.300Z,0.3,85.3876,99.7027,91.7087,348.9894,166.1556,11429.9843,33.5505,14.3339,2159.6727,0.1439,4.3497,20.8743,16.6076,0.8928,0.142,STARTUP
2026-02-15T04:30:00.400Z,0.4,112.2985,132.2051,121.4295,466.578,224.2516,15189.9245,44.887,19.2773,2875.5977,0.2243,5.5102,26.9357,23.1141,1.208,0.1872,STARTUP
2026-02-15T04:30:00.500Z,0.5,142.6785,166.0854,153.1177,580.3732,280.9695,19079.9296,55.9554,23.5415,3609.1179,0.2578,6.952,33.8602,28.0335,1.4675,0.2347,STARTUP
2026-02-15T04:30:00.600Z,0.6,172.3706,198.6563,180.2417,696.9977,337.6153,22764.7888,66.9313,28.9879,4308.3191,0.329,8.8313,40.3077,33.9982,1.7121,0.2794,STARTUP
2026-02-15T04:30:00.700Z,0.7,197.9566,231.8519,214.1259,817.8522,391.7173,26721.057,78.3359,33.2003,5053.8107,0.3695,10.5428,49.9172,37.6961,1.917,0.3207,STARTUP
2026-02-15T04:30:00.800Z,0.8,230.1544,262.7942,241.8088,931.935,444.7162,30478.5935,89.7532,38.5625,5743.5823,0.3763,11.3498,57.3988,43.7544,2.3344,0.3725,STARTUP
2026-02-15T04:30:00.900Z,0.9,255.8426,301.6247,273.9051,1041.3152,503.5941,34305.8832,100.1238,43.071,6480.2462,0.387,12.6986,62.383,49.8971,2.6537,0.4233,STARTUP
2026-02-15T04:30:01.000Z,1,285.4153,329.0316,303.4109,1155.8358,555.1929,38075.4408,113.4313,47.607,7232.9447,0.524,14.3569,69.6781,55.4525,2.977,0.4589,STARTUP
2026-02-15T04:30:01.100Z,1.1,315.7146,364.3233,332.648,1274.1288,605.4923,41757.6243,123.608,52.4822,7916.2607,0.5949,15.7973,79.2502,60.8656,3.1362,0.5196,STARTUP
2026-02-15T04:30:01.200Z,1.2,340.8622,401.8263,366.5944,1388.2334,665.1722,45702.6873,134.6476,57.7538,8619.5854,0.6169,17.5348,83.8402,66.3655,3.4002,0.5625,STARTUP
2026-02-15T04:30:01.300Z,1.3,369.7313,425.1804,395.1887,1497.0779,717.0374,49739.4544,146.2922,63.2415,9299.3456,0.5928,17.5863,90.6307,72.0499,3.6948,0.6041,STARTUP
